Date,Hour,Station,Max Capacity,Crowd Level (%),Day of the Week,Holiday/Festival
2024-07-01,5,Gundavali,1800,0.333333333,Monday,No
2024-07-01,6,Gundavali,1800,15.77777778,Monday,No
2024-07-01,7,Gundavali,1800,54.22222222,Monday,No
2024-07-01,8,Gundavali,1800,251.2777778,Monday,No
2024-07-01,9,Gundavali,1800,475.4444444,Monday,No
2024-07-01,10,Gundavali,1800,315.6666667,Monday,No
2024-07-01,11,Gundavali,1800,142.4444444,Monday,No
2024-07-01,12,Gundavali,1800,95.66666667,Monday,No
2024-07-01,13,Gundavali,1800,77.83333333,Monday,No
2024-07-01,14,Gundavali,1800,75.88888889,Monday,No
2024-07-01,15,Gundavali,1800,77.05555556,Monday,No
2024-07-01,16,Gundavali,1800,92.94444444,Monday,No
2024-07-01,17,Gundavali,1800,176.2222222,Monday,No
2024-07-01,18,Gundavali,1800,379.7777778,Monday,No
2024-07-01,19,Gundavali,1800,439.7777778,Monday,No
2024-07-01,20,Gundavali,1800,266.2222222,Monday,No
2024-07-01,21,Gundavali,1800,125.3888889,Monday,No
2024-07-01,22,Gundavali,1800,46.77777778,Monday,No
2024-07-01,23,Gundavali,1800,3.388888889,Monday,No
2024-07-01,5,Mogra,1800,0.166666667,Monday,No
2024-07-01,6,Mogra,1800,4.388888889,Monday,No
2024-07-01,7,Mogra,1800,7.611111111,Monday,No
2024-07-01,8,Mogra,1800,24.05555556,Monday,No
2024-07-01,9,Mogra,1800,47.11111111,Monday,No
2024-07-01,10,Mogra,1800,36.94444444,Monday,No
2024-07-01,11,Mogra,1800,17.61111111,Monday,No
2024-07-01,12,Mogra,1800,14.27777778,Monday,No
2024-07-01,13,Mogra,1800,15.55555556,Monday,No
2024-07-01,14,Mogra,1800,13.27777778,Monday,No
2024-07-01,15,Mogra,1800,12.38888889,Monday,No
2024-07-01,16,Mogra,1800,13.44444444,Monday,No
2024-07-01,17,Mogra,1800,20.38888889,Monday,No
2024-07-01,18,Mogra,1800,43.72222222,Monday,No
2024-07-01,19,Mogra,1800,51.77777778,Monday,No
2024-07-01,20,Mogra,1800,34.27777778,Monday,No
2024-07-01,21,Mogra,1800,18.27777778,Monday,No
2024-07-01,22,Mogra,1800,10.05555556,Monday,No
2024-07-01,23,Mogra,1800,0.833333333,Monday,No
2024-07-01,5,Jogeshwari(East),1800,0.111111111,Monday,No
2024-07-01,6,Jogeshwari(East),1800,4.555555556,Monday,No
2024-07-01,7,Jogeshwari(East),1800,10.55555556,Monday,No
2024-07-01,8,Jogeshwari(East),1800,47.5,Monday,No
2024-07-01,9,Jogeshwari(East),1800,97,Monday,No
2024-07-01,10,Jogeshwari(East),1800,77.44444444,Monday,No
2024-07-01,11,Jogeshwari(East),1800,35.94444444,Monday,No
2024-07-01,12,Jogeshwari(East),1800,19.38888889,Monday,No
2024-07-01,13,Jogeshwari(East),1800,18.11111111,Monday,No
2024-07-01,14,Jogeshwari(East),1800,16.16666667,Monday,No
2024-07-01,15,Jogeshwari(East),1800,16.5,Monday,No
2024-07-01,16,Jogeshwari(East),1800,21.83333333,Monday,No
